company_size,response
medium,yes
medium,yes
medium,yes
medium,yes
medium,try
small,try
small,try
large,yes
large,yes
large,yes
large,yes
large,try
medium,try
large,yes
large,yes
medium,try
large,try
medium,yes
large,try
medium,try
medium,try
large,try
medium,try
medium,yes
medium,no
large,no
large,yes
small,yes
medium,yes
large,yes
large,yes
large,yes
large,yes
large,yes
large,yes
large,yes
micro,try
medium,yes
medium,yes
micro,try
large,yes
large,yes
small,try
large,try
large,no
large,no
large,yes
large,yes
medium,try
medium,try
small,try
medium,yes
micro,yes
medium,yes
medium,try
medium,try
medium,try
large,try
small,try
medium,yes
small,try
medium,try
large,yes
large,yes
small,try
small,no
large,yes
small,try
medium,try
large,yes
large,try
large,no
large,yes
medium,yes
large,yes
medium,try
large,yes
large,yes
medium,yes
small,no
small,no
large,yes
small,no
large,no
medium,no
large,yes
large,yes
medium,yes
large,yes
medium,yes
small,yes
micro,yes
small,yes
small,yes
large,try
medium,yes
medium,try
medium,try
large,try
large,try
small,no
micro,try
large,try
small,no
small,try
large,yes
large,yes
medium,try
small,no
micro,no
small,no
medium,try
micro,no
large,yes
small,try
large,no
small,no
large,yes
large,yes
medium,try
small,yes
medium,try
large,yes
large,yes
small,yes
medium,yes
