#,sector,company_size ,How frequently do you recruit into the company/organization?,Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,Analyze the previous work experience from the resume,Analyze the project work carried out from the resume,Analyze the keywords which shows some competencies from the resume,Other,Online assessment (technical quiz/coding quiz),Competency OR behavioral assessment (online/offline – by some quiz or by some mental game),Short virtual chats (video call/telephonic call for the basic information extraction),Group Discussion,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),In-depth interview,Structured technical interview,Interview with open-ended question (to know the behavioral and other aspects of a person),Other,pre-keywords,"Do you have any documentation for your recruitment process? If yes, please upload the document","Do you have any documentation available online which can explain your recruitment process? If yes, please share the URL",industry_4point0,All of these competencies,Decision making,Initiating actions,Supervising,Working with people (Team Player),Applying expertise/technology,Entrepreneurial Thinking,Persuading,Analyzing,Creative,Innovative,Learning,Researching,Planning,Organizing,Influencing,Adaption to Change,Commercial Thinking,Disciplinary Approach,Communication quality (oral),Communication quality (written),Disciplinary Approach,interdisciplinary Approach,multidisciplinary Approach,trans-disciplinary Approach,Other,response_final
1u92coek4casvofao9y1u91yr1miktql,Education ,Between 50-249 employees - Medium business,Round the year with rolling advertisement,Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,Number of Publication,,,,,,In-depth interview,Structured technical interview,Interview with open-ended question (to know the behavioral and other aspects of a person),,Yes,,,"No, we are aware about the industry 4.0 standards, but we do not follow them",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
2m7nbyfel30f52g942m7nkvnqs8iqa6l,Education ,Between 50-249 employees - Medium business,Round the year with rolling advertisement,Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,Analyze the previous work experience from the resume,Analyze the project work carried out from the resume,Analyze the keywords which shows some competencies from the resume,Research Profile and Number of Publications,,,,,,In-depth interview,Structured technical interview,Interview with open-ended question (to know the behavioral and other aspects of a person),,Yes,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
jrqi6g8xajyq0pg48ajrqi57yovm50yj,Education ,Between 50-249 employees - Medium business,Twice in a Year,Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,Analyze the previous work experience from the resume,Analyze the project work carried out from the resume,Analyze the keywords which shows some competencies from the resume,,,Competency OR behavioral assessment (online/offline – by some quiz or by some mental game),,,,In-depth interview,Structured technical interview,Interview with open-ended question (to know the behavioral and other aspects of a person),,Yes,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
h964owyveelvb0q50h96bkmsmmsts8bl,Education ,Between 50-249 employees - Medium business,Twice in a Year,,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,Research Profile,,,,,,In-depth interview,Structured technical interview,Interview with open-ended question (to know the behavioral and other aspects of a person),,Yes,,,"No, we are aware about the industry 4.0 standards, but we do not follow them",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
vjzxj9ql3jsnvldu7esz3m39vjzxj9ql,Education ,Between 50-249 employees - Medium business,Round the year with rolling advertisement,,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,,,,,,,In-depth interview,,,,Not sure,,,"No, we are aware about the industry 4.0 standards, but we do not follow them",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,"Not sure is this helpful, but we would love to try"
6ie8inzvh4n0nts5siw6ie8inpk94l04,Education ,Between 10-49 employees - Small-sized business,"Not fixed, As and when required",,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,,,,,,,In-depth interview,,,,Not sure,,,"No, we are aware about the industry 4.0 standards, but we do not follow them",,,,,,,,,,,,,Researching,,,Influencing,Adaption to Change,,,,,,,,,,"Not sure is this helpful, but we would love to try"
xncbvdqezyux1x52xncbvdq6qoizlzo4,Education ,Between 10-49 employees - Small-sized business,"Not fixed, As and when required",Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,Analyze the previous work experience from the resume,Analyze the project work carried out from the resume,Analyze the keywords which shows some competencies from the resume,,,,,,,In-depth interview,,Interview with open-ended question (to know the behavioral and other aspects of a person),,Not sure,,,"No, we are aware about the industry 4.0 standards, but we do not follow them",All of these competencies,,,,,,,,,,,,Researching,,Organizing,Influencing,,,,,,,,,,,"Not sure is this helpful, but we would love to try"
l6qql6mik3paxls3lbhm3l6qqlk2zw5w,Education ,More than 250 employees - Large-sized business,Round the year with rolling advertisement,Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,Analyze the previous work experience from the resume,Analyze the project work carried out from the resume,,Google scholar profile and Scopus profile,,Competency OR behavioral assessment (online/offline – by some quiz or by some mental game),Short virtual chats (video call/telephonic call for the basic information extraction),,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),In-depth interview,Structured technical interview,Interview with open-ended question (to know the behavioral and other aspects of a person),,Yes,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,Decision making,,Supervising,,,,Persuading,Analyzing,Creative,Innovative,Learning,Researching,,,Influencing,Adaption to Change,,,,,,,,,,Yes
dovlsiupqgy1u93gwazdovlsiptzixqo,Education ,More than 250 employees - Large-sized business,Round the year with rolling advertisement,,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,Analyze the previous work experience from the resume,Analyze the project work carried out from the resume,Analyze the keywords which shows some competencies from the resume,,,Competency OR behavioral assessment (online/offline – by some quiz or by some mental game),,Group Discussion,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),In-depth interview,Structured technical interview,Interview with open-ended question (to know the behavioral and other aspects of a person),,Yes,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
rd92kgtrdhhk5n0f8xx80m18hhkm4hoo,Education ,More than 250 employees - Large-sized business,Round the year with rolling advertisement,,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,Analyze the previous work experience from the resume,Analyze the project work carried out from the resume,Analyze the keywords which shows some competencies from the resume,,,Competency OR behavioral assessment (online/offline – by some quiz or by some mental game),,,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),In-depth interview,Structured technical interview,Interview with open-ended question (to know the behavioral and other aspects of a person),,Yes,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
h5ufka4vbqvvek2k26h5ufkr4aqnv1nb,Education ,More than 250 employees - Large-sized business,Round the year with rolling advertisement,,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,Analyze the previous work experience from the resume,Analyze the project work carried out from the resume,,,,,,,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),In-depth interview,,,Research Profile,Not sure,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
zptv70r2fx07llzptv70mexqm609jnkb,Education ,More than 250 employees - Large-sized business,Round the year with rolling advertisement,Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,Analyze the previous work experience from the resume,Analyze the project work carried out from the resume,Analyze the keywords which shows some competencies from the resume,,Online assessment (technical quiz/coding quiz),Competency OR behavioral assessment (online/offline – by some quiz or by some mental game),,,,In-depth interview,Structured technical interview,Interview with open-ended question (to know the behavioral and other aspects of a person),,Yes,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,"Not sure is this helpful, but we would love to try"
5l1673hxbbfjfvwfx2h5l167412xr0js,Education ,Between 50-249 employees - Medium business,Round the year with rolling advertisement,Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,Analyze the previous work experience from the resume,Analyze the project work carried out from the resume,Analyze the keywords which shows some competencies from the resume,,,Competency OR behavioral assessment (online/offline – by some quiz or by some mental game),Short virtual chats (video call/telephonic call for the basic information extraction),Group Discussion,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),In-depth interview,Structured technical interview,Interview with open-ended question (to know the behavioral and other aspects of a person),,Yes,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,"Not sure is this helpful, but we would love to try"
3spebdc5zk9e00ykijoxb3spebikocez,Education ,More than 250 employees - Large-sized business,Round the year with rolling advertisement,,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,Research Background,,,,,,In-depth interview,Structured technical interview,Interview with open-ended question (to know the behavioral and other aspects of a person),,Yes,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
nvf4gv89n5djxqwuv4envf4o6nsut3cv,Education ,More than 250 employees - Large-sized business,Round the year with rolling advertisement,,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,,,Competency OR behavioral assessment (online/offline – by some quiz or by some mental game),,Group Discussion,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),In-depth interview,Structured technical interview,Interview with open-ended question (to know the behavioral and other aspects of a person),,Yes,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
